,UA.CK,UA.CH,UA.CV,UA.KR,UA.DP,UA.DT,UA.IF,UA.KK,UA.KS,UA.KM,UA.KV,UA.KC,UA.KH,UA.LV,UA.LH,UA.MY,UA.OD,UA.PL,UA.RV,UA.SC,UA.SM,UA.TP,UA.VI,UA.VO,UA.ZK,UA.ZP,UA.ZT
2015-01-01 00:00:00,0.18579,0,0.170482,0,0.739841,0,0,0,0.151703,0,0.200289,0,0.116255,0,0,0,0,0,0,0,0,0,0,0,0,0.744317,0
2015-01-01 06:00:00,0.183783,0,0.168597,0,0.739841,0,0,0,0.148607,0,0.19812,0,0.113552,0,0,0,0,0,0,0,0,0,0,0,0,0.742442,0
2015-01-01 12:00:00,0.181632,0,0.166712,0,0.736105,0,0,0,0.148607,0,0.195951,0,0.110848,0,0,0,0,0,0,0,0,0,0,0,0,0.742442,0
2015-01-01 18:00:00,0.179625,0,0.164828,0,0.736105,0,0,0,0.145511,0,0.193782,0,0.110848,0,0,0,0,0,0,0,0,0,0,0,0,0.740567,0
2015-01-02 00:00:00,0.177618,0,0.162838,0,0.736105,0,0,0,0.142415,0,0.191612,0,0.108145,0,0,0,0,0,0,0,0,0,0,0,0,0.740567,0
2015-01-02 06:00:00,0.175468,0,0.160953,0,0.736105,0,0,0,0.142415,0,0.189443,0,0.108145,0,0,0,0,0,0,0,0,0,0,0,0,0.738692,0
2015-01-02 12:00:00,0.173461,0,0.158754,0,0.732368,0,0,0,0.139319,0,0.187274,0,0.105441,0,0,0,0,0,0,0,0,0,0,0,0,0.738692,0
2015-01-02 18:00:00,0.171167,0,0.156031,0,0.732368,0,0,0,0.136223,0,0.185828,0,0.105441,0,0,0,0,0,0,0,0,0,0,0,0,0.736817,0
2015-01-03 00:00:00,0.168874,0,0.153413,0,0.732368,0,0,0,0.136223,0,0.183659,0,0.102737,0,0,0,0,0,0,0,0,0,0,0,0,0.736817,0
2015-01-03 06:00:00,0.16658,0,0.1509,0,0.732368,0,0,0,0.133127,0,0.18149,0,0.100034,0,0,0,0,0,0,0,0,0,0,0,0,0.734943,0
2015-01-03 12:00:00,0.16443,0,0.148806,0,0.728631,0,0,0,0.133127,0,0.17932,0,0.100034,0,0,0,0,0,0,0,0,0,0,0,0,0.734943,0
2015-01-03 18:00:00,0.162279,0,0.147235,0,0.728631,0,0,0,0.130031,0,0.177151,0,0.09733,0,0,0,0,0,0,0,0,0,0,0,0,0.733068,0
2015-01-04 00:00:00,0.160416,0,0.145873,0,0.728631,0,0,0,0.130031,0,0.174982,0,0.09733,0,0,0,0,0,0,0,0,0,0,0,0,0.733068,0
2015-01-04 06:00:00,0.158552,0,0.144407,0,0.728631,0,0,0,0.126935,0,0.172813,0,0.094627,0,0,0,0,0,0,0,0,0,0,0,0,0.733068,0
2015-01-04 12:00:00,0.156832,0,0.142941,0,0.724895,0,0,0,0.123839,0,0.171367,0,0.094627,0,0,0,0,0,0,0,0,0,0,0,0,0.731193,0
2015-01-04 18:00:00,0.155112,0,0.141371,0,0.724895,0,0,0,0.123839,0,0.169197,0,0.091923,0,0,0,0,0,0,0,0,0,0,0,0,0.731193,0
2015-01-05 00:00:00,0.153391,0,0.1398,0,0.724895,0,0,0,0.120743,0,0.167028,0,0.091923,0,0,0,0,0,0,0,0,0,0,0,0,0.729318,0
2015-01-05 06:00:00,0.151599,0,0.138229,0,0.724895,0,0,0,0.119195,0,0.165221,0,0.089219,0,0,0,0,0,0,0,0,0,0,0,0,0.728381,0
2015-01-05 12:00:00,0.149807,0,0.136606,0,0.723027,0,0,0,0.117647,0,0.163051,0,0.087868,0,0,0,0,0,0,0,0,0,0,0,0,0.728381,0
2015-01-05 18:00:00,0.147944,0,0.134878,0,0.723027,0,0,0,0.116099,0,0.161244,0,0.086516,0,0,0,0,0,0,0,0,0,0,0,0,0.727443,0
2015-01-06 00:00:00,0.146008,0,0.133045,0,0.721158,0,0,0,0.114551,0,0.159436,0,0.085164,0,0,0,0,0,0,0,0,0,0,0,0,0.726506,0
2015-01-06 06:00:00,0.144073,0,0.131213,0,0.721158,0,0,0,0.113003,0,0.157267,0,0.083812,0,0,0,0,0,0,0,0,0,0,0,0,0.725568,0
2015-01-06 12:00:00,0.142138,0,0.129485,0,0.71929,0,0,0,0.111455,0,0.155459,0,0.08246,0,0,0,0,0,0,0,0,0,0,0,0,0.724631,0
2015-01-06 18:00:00,0.140274,0,0.127914,0,0.71929,0,0,0,0.109907,0,0.153651,0,0.081108,0,0,0,0,0,0,0,0,0,0,0,0,0.723693,0
2015-01-07 00:00:00,0.138411,0,0.126396,0,0.717422,0,0,0,0.108359,0,0.151844,0,0.079757,0,0,0,0,0,0,0,0,0,0,0,0,0.722756,0
2015-01-07 06:00:00,0.136619,0,0.124877,0,0.717422,0,0,0,0.106811,0,0.149675,0,0.078405,0,0,0,0,0,0,0,0,0,0,0,0,0.721819,0
2015-01-07 12:00:00,0.134827,0,0.123254,0,0.715553,0,0,0,0.103715,0,0.147867,0,0.077053,0,0,0,0,0,0,0,0,0,0,0,0,0.720881,0
2015-01-07 18:00:00,0.133106,0,0.121422,0,0.715553,0,0,0,0.102167,0,0.146059,0,0.075701,0,0,0,0,0,0,0,0,0,0,0,0,0.719944,0
