,UA.CK,UA.CH,UA.CV,UA.KR,UA.DP,UA.DT,UA.IF,UA.KK,UA.KS,UA.KM,UA.KV,UA.KC,UA.KH,UA.LV,UA.LH,UA.MY,UA.OD,UA.PL,UA.RV,UA.SC,UA.SM,UA.TP,UA.VI,UA.VO,UA.ZK,UA.ZP,UA.ZT
2015-01-01 00:00:00,0.170616,0.198043,0.152023,0.577184,0.634349,0.548784,0.142742,0.607412,0.514057,0.182119,0.560283,0.200289,0.284016,0.221938,0.76537,0.203304,0.181418,0.544288,0.146457,0.734368,0.319392,0.131597,0.655719,0.254382,0.203474,0.503814,0.17812
2015-01-01 06:00:00,0.16872,0.195835,0.150296,0.576391,0.633137,0.548138,0.141114,0.606697,0.513058,0.180245,0.555017,0.19812,0.28115,0.219618,0.764534,0.201587,0.178977,0.543504,0.145523,0.734368,0.317929,0.130137,0.648191,0.252866,0.201312,0.503181,0.176419
2015-01-01 12:00:00,0.166752,0.193766,0.148569,0.575678,0.632098,0.547492,0.13956,0.605787,0.511774,0.17836,0.549341,0.195951,0.278284,0.217433,0.763505,0.199806,0.177059,0.54272,0.144583,0.73082,0.315736,0.128676,0.640664,0.251395,0.199294,0.502547,0.174668
2015-01-01 18:00:00,0.164905,0.191659,0.146842,0.575045,0.631233,0.546863,0.137784,0.605397,0.510846,0.176441,0.5439,0.193782,0.275371,0.214979,0.76254,0.198154,0.174705,0.54125,0.143583,0.73082,0.314273,0.127216,0.633735,0.249813,0.197059,0.501935,0.172895
2015-01-02 00:00:00,0.16296,0.189489,0.145167,0.57453,0.631233,0.54615,0.136193,0.604616,0.509491,0.174601,0.538693,0.191612,0.27227,0.212816,0.761415,0.196307,0.172613,0.540858,0.142589,0.73082,0.312372,0.125756,0.626141,0.248254,0.195041,0.501432,0.171182
2015-01-02 06:00:00,0.161089,0.187382,0.14344,0.573619,0.630021,0.545438,0.134491,0.603836,0.50842,0.172715,0.533368,0.189443,0.269686,0.21063,0.760675,0.194623,0.170346,0.539976,0.141637,0.73082,0.311495,0.124295,0.618879,0.246826,0.192951,0.500732,0.16947
2015-01-02 12:00:00,0.159096,0.185351,0.141661,0.571598,0.628982,0.543947,0.132826,0.602861,0.506279,0.170653,0.527401,0.187274,0.266726,0.207775,0.758006,0.192711,0.165726,0.538801,0.140249,0.727273,0.309593,0.122835,0.610153,0.244102,0.190068,0.498131,0.16752
2015-01-02 18:00:00,0.156957,0.183168,0.139934,0.569261,0.628636,0.541479,0.130976,0.602536,0.504067,0.168324,0.521199,0.185828,0.263625,0.204318,0.755498,0.190768,0.161541,0.538801,0.138406,0.727273,0.307254,0.121374,0.600027,0.240522,0.18668,0.495726,0.165349
2015-01-03 00:00:00,0.154867,0.180948,0.13805,0.567954,0.628116,0.539773,0.128867,0.601756,0.502069,0.166007,0.514646,0.183659,0.260336,0.200795,0.753794,0.188759,0.158141,0.537331,0.136588,0.727273,0.305937,0.119752,0.590367,0.237293,0.183076,0.494371,0.163073
2015-01-03 06:00:00,0.152655,0.17879,0.136114,0.566607,0.626904,0.538481,0.12698,0.600975,0.5005,0.163645,0.507917,0.18149,0.256907,0.197761,0.752219,0.186654,0.155003,0.536743,0.134842,0.727273,0.304475,0.118129,0.580774,0.23435,0.180121,0.493235,0.160798
