,UA.CK,UA.CH,UA.CV,UA.KR,UA.DP,UA.DT,UA.IF,UA.KK,UA.KS,UA.KM,UA.KV,UA.KC,UA.KH,UA.LV,UA.LH,UA.MY,UA.OD,UA.PL,UA.RV,UA.SC,UA.SM,UA.TP,UA.VI,UA.VO,UA.ZK,UA.ZP,UA.ZT
2015-01-01 00:00:00,0,0,0,0.49728,0,0.185291,0,0,0.24304,0,0,0,0,0,0,0.16864,0.278269,0,0,0,0,0,0,0,0,0.177164,0
2015-01-01 01:00:00,0,0,0,0.4772,0,0.187224,0,0,0.203891,0,0,0,0,0,0,0.18037,0.281742,0,0,0,0,0,0,0,0,0.154547,0
2015-01-01 02:00:00,0,0,0,0.44672,0,0.193637,0,0,0.170854,0,0,0,0,0,0,0.192355,0.281887,0,0,0,0,0,0,0,0,0.138575,0
2015-01-01 03:00:00,0,0,0,0.40592,0,0.210681,0,0,0.154823,0,0,0,0,0,0,0.20332,0.28536,0,0,0,0,0,0,0,0,0.128353,0
2015-01-01 04:00:00,0,0,0,0.35336,0,0.231064,0,0,0.144017,0,0,0,0,0,0,0.219895,0.292161,0,0,0,0,0,0,0,0,0.127906,0
2015-01-01 05:00:00,0,0,0,0.29968,0,0.254346,0,0,0.146497,0,0,0,0,0,0,0.236385,0.304461,0,0,0,0,0,0,0,0,0.133783,0
2015-01-01 06:00:00,0,0,0,0.24688,0,0.269458,0,0,0.15872,0,0,0,0,0,0,0.25007,0.310973,0,0,0,0,0,0,0,0,0.141386,0
2015-01-01 07:00:00,0,0,0,0.21968,0,0.26322,0,0,0.177409,0,0,0,0,0,0,0.228735,0.271179,0,0,0,0,0,0,0,0,0.145922,0
2015-01-01 08:00:00,0,0,0,0.21336,0,0.275608,0,0,0.172183,0,0,0,0,0,0,0.192865,0.222196,0,0,0,0,0,0,0,0,0.161575,0
2015-01-01 09:00:00,0,0,0,0.21936,0,0.329991,0,0,0.194326,0,0,0,0,0,0,0.20383,0.237535,0,0,0,0,0,0,0,0,0.198503,0
2015-01-01 10:00:00,0,0,0,0.22064,0,0.355734,0,0,0.229577,0,0,0,0,0,0,0.21777,0.242744,0,0,0,0,0,0,0,0,0.237347,0
2015-01-01 11:00:00,0,0,0,0.20152,0,0.348354,0,0,0.232146,0,0,0,0,0,0,0.220915,0.247447,0,0,0,0,0,0,0,0,0.251147,0
2015-01-01 12:00:00,0,0,0,0.17728,0,0.32841,0,0,0.238877,0,0,0,0,0,0,0.224485,0.251282,0,0,0,0,0,0,0,0,0.258494,0
2015-01-01 13:00:00,0,0,0,0.17344,0,0.324632,0,0,0.25606,0,0,0,0,0,0,0.23902,0.263871,0,0,0,0,0,0,0,0,0.258878,0
2015-01-01 14:00:00,0,0,0,0.16944,0,0.340886,0,0,0.290957,0,0,0,0,0,0,0.262225,0.320668,0,0,0,0,0,0,0,0,0.286669,0
2015-01-01 15:00:00,0,0,0,0.1692,0,0.350111,0,0,0.312657,0,0,0,0,0,0,0.2873,0.359884,0,0,0,0,0,0,0,0,0.313758,0
2015-01-01 16:00:00,0,0,0,0.17824,0,0.360741,0,0,0.313011,0,0,0,0,0,0,0.297755,0.374788,0,0,0,0,0,0,0,0,0.309158,0
2015-01-01 17:00:00,0,0,0,0.18208,0,0.361796,0,0,0.29822,0,0,0,0,0,0,0.288235,0.379853,0,0,0,0,0,0,0,0,0.300597,0
2015-01-01 18:00:00,0,0,0,0.18248,0,0.352659,0,0,0.280683,0,0,0,0,0,0,0.26843,0.370954,0,0,0,0,0,0,0,0,0.284753,0
2015-01-01 19:00:00,0,0,0,0.17848,0,0.331046,0,0,0.266689,0,0,0,0,0,0,0.254915,0.357568,0,0,0,0,0,0,0,0,0.267375,0
2015-01-01 20:00:00,0,0,0,0.17248,0,0.310399,0,0,0.248531,0,0,0,0,0,0,0.253555,0.349971,0,0,0,0,0,0,0,0,0.244311,0
2015-01-01 21:00:00,0,0,0,0.18384,0,0.298363,0,0,0.245963,0,0,0,0,0,0,0.251855,0.343387,0,0,0,0,0,0,0,0,0.233131,0
2015-01-01 22:00:00,0,0,0,0.21264,0,0.297836,0,0,0.2542,0,0,0,0,0,0,0.252365,0.331304,0,0,0,0,0,0,0,0,0.234792,0
2015-01-01 23:00:00,0,0,0,0.24592,0,0.299681,0,0,0.264209,0,0,0,0,0,0,0.2516,0.325588,0,0,0,0,0,0,0,0,0.239839,0
2015-01-02 00:00:00,0,0,0,0.27808,0,0.312332,0,0,0.283606,0,0,0,0,0,0,0.25772,0.331883,0,0,0,0,0,0,0,0,0.256194,0
2015-01-02 01:00:00,0,0,0,0.29904,0,0.317691,0,0,0.294854,0,0,0,0,0,0,0.27319,0.349537,0,0,0,0,0,0,0,0,0.269419,0
2015-01-02 02:00:00,0,0,0,0.3068,0,0.336229,0,0,0.301674,0,0,0,0,0,0,0.28645,0.368204,0,0,0,0,0,0,0,0,0.287308,0
2015-01-02 03:00:00,0,0,0,0.31056,0,0.342731,0,0,0.301231,0,0,0,0,0,0,0.298945,0.393021,0,0,0,0,0,0,0,0,0.300469,0
2015-01-02 04:00:00,0,0,0,0.3004,0,0.339041,0,0,0.29698,0,0,0,0,0,0,0.30566,0.401197,0,0,0,0,0,0,0,0,0.301619,0
2015-01-02 05:00:00,0,0,0,0.288,0,0.368297,0,0,0.282809,0,0,0,0,0,0,0.306,0.401197,0,0,0,0,0,0,0,0,0.296508,0
2015-01-02 06:00:00,0,0,0,0.26576,0,0.387714,0,0,0.251809,0,0,0,0,0,0,0.28713,0.379346,0,0,0,0,0,0,0,0,0.2714,0
2015-01-02 07:00:00,0,0,0,0.24408,0,0.365046,0,0,0.222049,0,0,0,0,0,0,0.2584,0.36039,0,0,0,0,0,0,0,0,0.247058,0
