,UA.CK,UA.CH,UA.CV,UA.KR,UA.DP,UA.DT,UA.IF,UA.KK,UA.KS,UA.KM,UA.KV,UA.KC,UA.KH,UA.LV,UA.LH,UA.MY,UA.OD,UA.PL,UA.RV,UA.SC,UA.SM,UA.TP,UA.VI,UA.VO,UA.ZK,UA.ZP,UA.ZT
2015-01-01 00:00:00,0.374231,0.407136,0.265,0.4144,0.17275,0.150643,0.272286,0.30985,0.196,0.32975,0.420706,0.46,0.258706,0.363267,0.2255,0.141714,0.226235,0.319333,0.344846,0.559,0.407154,0.3254,0.273882,0.352231,0.116571,0.154056,0.420056
2015-01-01 01:00:00,0.377769,0.375227,0.27475,0.397667,0.192938,0.152214,0.292286,0.31565,0.164429,0.319583,0.408176,0.436,0.273941,0.359467,0.236688,0.151571,0.229059,0.328333,0.322769,0.539,0.378231,0.3255,0.286529,0.342,0.119143,0.134389,0.404444
2015-01-01 02:00:00,0.379769,0.340136,0.303,0.372267,0.220063,0.157429,0.304571,0.3229,0.137786,0.304583,0.390529,0.405,0.282353,0.359533,0.249563,0.161643,0.229176,0.330667,0.319385,0.529,0.368077,0.3284,0.288059,0.338923,0.118857,0.1205,0.355222
2015-01-01 03:00:00,0.371769,0.315273,0.33925,0.338267,0.246875,0.171286,0.319143,0.321,0.124857,0.3055,0.361176,0.359,0.292471,0.3462,0.260688,0.170857,0.232,0.327611,0.313923,0.502,0.346462,0.331,0.294588,0.325846,0.119857,0.111611,0.334333
2015-01-01 04:00:00,0.345154,0.301,0.34825,0.294467,0.268625,0.187857,0.311286,0.3072,0.116143,0.322333,0.319824,0.309,0.296118,0.3398,0.27225,0.184786,0.237529,0.315778,0.310385,0.46,0.325077,0.3455,0.290529,0.330154,0.120571,0.111222,0.323833
2015-01-01 05:00:00,0.311385,0.302273,0.35975,0.249733,0.2815,0.206786,0.31,0.30785,0.118143,0.319333,0.303529,0.302,0.286529,0.347733,0.286375,0.198643,0.247529,0.312722,0.302692,0.405,0.310077,0.3587,0.279,0.312231,0.117857,0.116333,0.317278
2015-01-01 06:00:00,0.277308,0.285318,0.353,0.205733,0.273,0.219071,0.313857,0.29805,0.128,0.325917,0.285765,0.302,0.266235,0.3706,0.29375,0.210143,0.252824,0.286389,0.305,0.359,0.291231,0.3575,0.269294,0.354,0.114571,0.122944,0.310111
2015-01-01 07:00:00,0.243769,0.250818,0.3125,0.183067,0.245625,0.214,0.302571,0.29205,0.143071,0.34,0.266941,0.267,0.222765,0.399133,0.300938,0.192214,0.220471,0.2415,0.307231,0.309,0.264308,0.3437,0.285,0.36,0.115429,0.126889,0.306333
2015-01-01 08:00:00,0.219231,0.221364,0.30725,0.1778,0.211625,0.224071,0.304429,0.28845,0.138857,0.393083,0.245941,0.253,0.195235,0.3786,0.318875,0.162071,0.180647,0.228,0.310077,0.285,0.253615,0.3842,0.326118,0.323385,0.118286,0.1405,0.293944
2015-01-01 09:00:00,0.238923,0.220545,0.325,0.1828,0.211625,0.268286,0.320286,0.2714,0.156714,0.393583,0.259941,0.253,0.224647,0.3846,0.333188,0.171286,0.193118,0.222611,0.327538,0.276,0.242385,0.425,0.319471,0.307154,0.127143,0.172611,0.2965
2015-01-01 10:00:00,0.222769,0.211909,0.3755,0.183867,0.217875,0.289214,0.355,0.26635,0.185143,0.387833,0.253765,0.267,0.212471,0.404867,0.32125,0.183,0.197353,0.217944,0.352,0.267,0.235846,0.4465,0.314294,0.322154,0.136857,0.206389,0.3005
2015-01-01 11:00:00,0.213769,0.211864,0.3985,0.167933,0.212375,0.283214,0.368,0.2512,0.187214,0.388583,0.248941,0.253,0.200471,0.420467,0.298375,0.185643,0.201176,0.214333,0.358154,0.224,0.223077,0.4545,0.301765,0.325923,0.146714,0.218389,0.299833
2015-01-01 12:00:00,0.202615,0.236136,0.38925,0.147733,0.215438,0.267,0.386143,0.2395,0.192643,0.387667,0.238412,0.253,0.195412,0.4018,0.282,0.188643,0.204294,0.213111,0.365538,0.211,0.206462,0.4783,0.288235,0.338462,0.152857,0.224778,0.307167
2015-01-01 13:00:00,0.234846,0.262545,0.3965,0.144533,0.227188,0.263929,0.401143,0.2632,0.2065,0.409333,0.276,0.285,0.211412,0.398467,0.287938,0.200857,0.214529,0.249056,0.371462,0.211,0.226692,0.4977,0.267588,0.358538,0.154571,0.225111,0.323778
2015-01-01 14:00:00,0.277615,0.274818,0.43225,0.1412,0.256625,0.277143,0.383429,0.29285,0.234643,0.445167,0.318471,0.35,0.244706,0.414467,0.2995,0.220357,0.260706,0.276222,0.378462,0.202,0.258846,0.5159,0.301941,0.385538,0.152857,0.249278,0.362833
