,UA.VI,UA.VO,UA.DP,UA.DT,UA.ZT,UA.ZK,UA.ZP,UA.IF,UA.KV,UA.KH,UA.LH,UA.LV,UA.MY,UA.OD,UA.PL,UA.RV,UA.SM,UA.TP,UA.KK,UA.KS,UA.KM,UA.CK,UA.CV,UA.CH,UA.KR,UA.KC,UA.SC
1-1-2015 00:00,-466.56,-280.83,-1206.12,-1226.43,-336.53,-320.69,-592.42,-390.86,-541.59,-259.94,-500.01,-694.56,-330.62,-638.32,-521.23,-319.5,-300.61,-274.32,-831.15,-275.23,-346,-386.6,-240.92,-267.51,-449.33,-1165.54,-90.55
1-1-2015 01:00,-459.14,-275.46,-1186.95,-1199.03,-330.49,-314.22,-583.88,-383.46,-530.97,-254.87,-487.09,-680.74,-324.38,-623.56,-513.82,-313.84,-295,-269.21,-816.33,-269.98,-339.77,-380.77,-236.2,-262.57,-437.15,-1132.26,-87.95
1-1-2015 02:00,-455.37,-272.65,-1179.58,-1187.47,-327.37,-310.71,-579.95,-379.76,-526.52,-252.47,-480.9,-673.97,-321.41,-616.62,-510.8,-310.79,-292.26,-266.44,-809.53,-267.26,-336.51,-377.97,-233.54,-260.17,-431.12,-1123.51,-86.71
1-1-2015 03:00,-459.63,-276.05,-1185.2,-1199,-331.07,-315.15,-583.81,-384.06,-530.75,-255.12,-488.22,-681.77,-324.69,-624.5,-513.23,-314.54,-295.35,-269.88,-816.61,-270.53,-340.4,-380.92,-236.98,-262.87,-438.52,-1126.15,-88.19
1-1-2015 04:00,-465.11,-280.33,-1194.5,-1215.7,-335.75,-320.62,-589.16,-389.6,-536.96,-258.66,-497.83,-691.94,-329.06,-635.01,-517.02,-319.19,-299.4,-274.13,-826.31,-274.67,-345.31,-384.86,-241.14,-266.42,-448.03,-1136.34,-90.13
1-1-2015 05:00,-494.67,-301.93,-1251.89,-1302.18,-359.92,-347.58,-620.4,-418.06,-570.66,-277.01,-544,-743.73,-351.87,-687.12,-540.98,-342.93,-320.46,-295.52,-878.68,-295.62,-370.49,-407,-261.59,-284.94,-492.94,-1196.24,-99.29
1-1-2015 06:00,-562.9,-344.93,-1432.18,-1503.37,-410.58,-397.19,-705.67,-477.97,-656.02,-317.43,-628.99,-851.96,-402.75,-791.87,-616.45,-390.65,-366.5,-337.04,-1005.09,-337.74,-422.59,-463.05,-298.4,-325.78,-570.31,-1413.93,-115.3
1-1-2015 07:00,-587.15,-354.93,-1532.19,-1575.01,-424.65,-405.16,-745.98,-494.77,-691.77,-330.23,-642.32,-881.56,-419.39,-816.82,-658.56,-402.23,-380.81,-345.81,-1053.95,-347.91,-436.47,-486.72,-303.54,-338.76,-577.37,-1549.01,-116.98
1-1-2015 08:00,-606.96,-365.75,-1590.27,-1626.36,-438.12,-416.79,-773.12,-510.38,-715.61,-340.87,-659.84,-909.08,-433.05,-841.13,-683.69,-414.7,-393.09,-356.23,-1089.83,-358.59,-450.19,-503.87,-312.16,-349.75,-592.06,-1608.2,-119.95
1-1-2015 09:00,-605.11,-363.15,-1592.46,-1617.48,-435.67,-412.95,-773.17,-507.37,-713.49,-339.06,-652.05,-903.2,-430.96,-833.87,-685.03,-412.1,-391.08,-353.6,-1086.48,-356.13,-447.56,-503.24,-309.22,-348.05,-583.75,-1607.16,-118.22
1-1-2015 10:00,-600.83,-359.6,-1581.86,-1598.34,-431.86,-408.52,-768.75,-502.55,-706.58,-335.72,-642.29,-893.96,-426.94,-823.25,-681.32,-408.53,-387.47,-350.26,-1077.3,-352.68,-443.6,-500.07,-306.02,-344.9,-574.35,-1582.42,-116.18
1-1-2015 11:00,-596.05,-356.05,-1570.47,-1581.21,-427.91,-404.18,-763.46,-497.74,-700.01,-332.47,-633.84,-885,-422.94,-813.71,-676.9,-404.77,-383.85,-346.86,-1067.96,-349.22,-439.51,-496.39,-302.83,-341.72,-566.28,-1563.5,-114.47
1-1-2015 12:00,-591.11,-352.41,-1560.7,-1566.27,-423.85,-399.64,-758.24,-492.94,-694.23,-329.36,-625.91,-876.22,-419.08,-804.78,-672.87,-400.8,-380.29,-343.27,-1059.09,-345.69,-435.28,-492.69,-299.4,-338.59,-558.57,-1552.28,-112.89
1-1-2015 13:00,-590.55,-351.96,-1559.32,-1563.87,-423.35,-399.08,-757.65,-492.32,-693.35,-328.93,-624.69,-875.04,-418.57,-803.45,-672.37,-400.34,-379.83,-342.84,-1057.91,-345.25,-434.77,-492.27,-298.99,-338.18,-557.41,-1549.25,-112.64
1-1-2015 14:00,-591.46,-352.62,-1562.16,-1567.87,-424.1,-399.85,-758.77,-493.26,-694.89,-329.61,-626.45,-876.84,-419.39,-805.46,-673.42,-401.01,-380.55,-343.45,-1059.91,-345.9,-435.53,-493.01,-299.53,-338.82,-559.03,-1555.3,-113
1-1-2015 15:00,-598.74,-357.71,-1580.88,-1593.03,-429.87,-405.92,-767.3,-500.27,-704.86,-334.38,-638.08,-889.81,-425.3,-818.97,-680.84,-406.44,-385.88,-348.31,-1074.09,-350.87,-441.49,-498.78,-303.98,-343.52,-569.93,-1584.67,-115.31
1-1-2015 16:00,-611.26,-366.95,-1606.48,-1632.09,-440.18,-417.42,-780.63,-512.52,-719.95,-342.38,-658.55,-912.28,-435.21,-842.02,-691.28,-416.49,-394.99,-357.39,-1096.92,-359.84,-452.22,-508.2,-312.64,-351.52,-589.76,-1616.59,-119.4
1-1-2015 17:00,-626.44,-379.01,-1627.35,-1673.78,-453.31,-433.12,-794.59,-527.82,-735.27,-351.87,-684.62,-940.07,-446.94,-870.15,-700.22,-429.77,-406.01,-369.56,-1122.33,-371.46,-466.02,-518.79,-324.74,-361.17,-616.01,-1628.46,-124.67
1-1-2015 18:00,-635.36,-387.02,-1633.91,-1699,-461.71,-444.01,-801.12,-537.63,-743.6,-357.78,-703.09,-958.07,-454.15,-889.07,-702.97,-438.49,-412.9,-377.73,-1136.79,-379.13,-474.94,-524.39,-333.2,-367.15,-635.15,-1627.64,-128.51
1-1-2015 19:00,-637.75,-390.86,-1622.75,-1703.94,-465.23,-450.09,-799.48,-541.61,-743.44,-359.72,-712.99,-965.46,-456.39,-897.51,-698.41,-442.64,-415.3,-381.91,-1138.9,-382.72,-478.83,-524.61,-338.13,-369.16,-646.49,-1603.33,-130.72
1-1-2015 20:00,-626.55,-384.53,-1582.28,-1663.29,-457.45,-443.57,-783.3,-532.01,-725.85,-352.66,-699.39,-947.73,-447.54,-879.61,-682.23,-435.88,-407.56,-376.19,-1115.42,-376.42,-470.99,-514.59,-333.64,-362.26,-635.16,-1535.91,-128.19
