id,name
AUT-1_1,Burgenland
AUT-2_1,Kärnten
AUT-3_1,Niederösterreich
AUT-4_1,Oberösterreich
AUT-5_1,Salzburg
AUT-6_1,Steiermark
AUT-7_1,Tirol
AUT-8_1,Vorarlberg
AUT-9_1,Wien
BEL-1_1,Bruxelles
BEL-2_1,Vlaanderen
BEL-3_1,Wallonie
BGR-1_1,Blagoevgrad
BGR-2_1,Burgas
BGR-3_1,Dobrich
BGR-4_1,Gabrovo
BGR-5_1,Grad Sofiya
BGR-6_1,Haskovo
BGR-7_1,Kardzhali
BGR-8_1,Kyustendil
BGR-9_1,Lovech
BGR-10_1,Montana
BGR-11_1,Pazardzhik
BGR-12_1,Pernik
BGR-13_1,Pleven
BGR-14_1,Plovdiv
BGR-15_1,Razgrad
BGR-16_1,Ruse
BGR-17_1,Shumen
BGR-18_1,Silistra
BGR-19_1,Sliven
BGR-20_1,Smolyan
BGR-21_1,Sofia
BGR-22_1,Stara Zagora
BGR-23_1,Targovishte
BGR-24_1,Varna
BGR-25_1,Veliko Tarnovo
BGR-26_1,Vidin
BGR-27_1,Vratsa
BGR-28_1,Yambol
HRV-1_1,Bjelovarska-Bilogorska
HRV-2_1,Brodsko-Posavska
HRV-3_1,Dubrovacko-Neretvanska
HRV-4_1,Grad Zagreb
HRV-5_1,Istarska
HRV-6_1,Karlovacka
HRV-7_1,Koprivničko-Križevačka
HRV-8_1,Krapinsko-Zagorska
HRV-9_1,Licko-Senjska
HRV-10_1,Medimurska
HRV-11_1,Osjecko-Baranjska
HRV-12_1,Požeško-Slavonska
HRV-13_1,Primorsko-Goranska
HRV-14_1,Šibensko-Kninska
HRV-15_1,Sisacko-Moslavacka
HRV-16_1,Splitsko-Dalmatinska
HRV-17_1,Varaždinska
HRV-18_1,Viroviticko-Podravska
HRV-19_1,Vukovarsko-Srijemska
HRV-20_1,Zadarska
HRV-21_1,Zagrebačka
CYP-1_1,Famagusta
CYP-2_1,Larnaca
CYP-3_1,Limassol
CYP-4_1,Nicosia
CYP-5_1,Paphos
CZE-1_1,Jihočeský
CZE-2_1,Jihomoravský
CZE-3_1,Karlovarský
CZE-4_1,Kraj Vysočina
CZE-5_1,Královéhradecký
CZE-6_1,Liberecký
CZE-7_1,Moravskoslezský
CZE-8_1,Olomoucký
CZE-9_1,Pardubický
CZE-10_1,Plzeňský
CZE-11_1,Prague
CZE-12_1,Středočeský
CZE-13_1,Ústecký
CZE-14_1,Zlínský
DNK-1_1,Hovedstaden
DNK-2_1,Midtjylland
DNK-3_1,Nordjylland
DNK-4_1,Sjælland
DNK-5_1,Syddanmark
EST-1_1,Harju
EST-2_1,Hiiu
EST-3_1,Ida-Viru
EST-4_1,Järva
EST-5_1,Jõgeva
EST-7_1,Lääne
EST-6_1,Lääne-Viru
EST-8_1,Pärnu
EST-9_1,Peipsi
EST-10_1,Põlva
EST-11_1,Rapla
EST-12_1,Saare
EST-13_1,Tartu
EST-14_1,Valga
EST-15_1,Viljandi
EST-16_1,Võru
FIN-1_1,Eastern Finland
FIN-2_1,Lapland
FIN-3_1,Oulu
FIN-4_1,Southern Finland
FIN-5_1,Western Finland
FRA-1_1,Auvergne-Rhône-Alpes
FRA-2_1,Bourgogne-Franche-Comté
FRA-3_1,Bretagne
FRA-4_1,Centre-Val de Loire
FRA-5_1,Corse
FRA-6_1,Grand Est
FRA-7_1,Hauts-de-France
FRA-8_1,Île-de-France
FRA-9_1,Normandie
FRA-10_1,Nouvelle-Aquitaine
FRA-11_1,Occitanie
FRA-12_1,Pays de la Loire
FRA-13_1,Provence-Alpes-Côte d'Azur
DEU-1_1,Baden-Württemberg
DEU-2_1,Bayern
DEU-3_1,Berlin
DEU-4_1,Brandenburg
DEU-5_1,Bremen
DEU-6_1,Hamburg
DEU-7_1,Hessen
DEU-8_1,Mecklenburg-Vorpommern
DEU-9_1,Niedersachsen
DEU-10_1,Nordrhein-Westfalen
DEU-11_1,Rheinland-Pfalz
DEU-12_1,Saarland
DEU-14_1,Sachsen
DEU-13_1,Sachsen-Anhalt
DEU-15_1,Schleswig-Holstein
DEU-16_1,Thüringen
GRC-1_1,Aegean
GRC-2_1,Athos
GRC-3_1,Attica
GRC-4_1,Crete
GRC-5_1,Epirus and Western Macedonia
GRC-6_1,Macedonia and Thrace
GRC-7_1,"Peloponnese, Western Greece and the Ionian Islands"
GRC-8_1,Thessaly and Central Greece
HUN-1_1,Bács-Kiskun
HUN-2_1,Baranya
HUN-3_1,Békés
HUN-4_1,Borsod-Abaúj-Zemplén
HUN-5_1,Budapest
HUN-6_1,Csongrád
HUN-7_1,Fejér
HUN-8_1,Gyor-Moson-Sopron
HUN-9_1,Hajdú-Bihar
HUN-10_1,Heves
HUN-11_1,Jász-Nagykun-Szolnok
HUN-12_1,Komárom-Esztergom
HUN-13_1,Nógrád
HUN-14_1,Pest
HUN-15_1,Somogy
HUN-16_1,Szabolcs-Szatmár-Bereg
HUN-17_1,Tolna
HUN-18_1,Vas
HUN-19_1,Veszprém
HUN-20_1,Zala
IRL-1_1,Carlow
IRL-2_1,Cavan
IRL-3_1,Clare
IRL-4_1,Cork
IRL-5_1,Donegal
IRL-6_1,Dublin
IRL-7_1,Galway
IRL-8_1,Kerry
IRL-9_1,Kildare
IRL-10_1,Kilkenny
IRL-11_1,Laoighis
